,job_title
0,Research Scientist
1,Data Scientist
2,Data Scientist
3,Data Scientist
4,Data Engineer
5,Data Engineer
6,Data Engineer
7,Data Engineer
8,Data Scientist
9,Data Scientist
10,Applied Scientist
11,Applied Scientist
12,Machine Learning Engineer
13,Machine Learning Engineer
14,Data Analyst
15,Data Analyst
16,Machine Learning Engineer
17,Machine Learning Engineer
18,Data Analyst
19,Data Analyst
20,Data Engineer
21,Data Engineer
22,Data Engineer
23,Data Engineer
24,Data Analyst
25,Data Analyst
26,Data Analyst
27,Data Analyst
28,Data Scientist
31,Applied Scientist
32,Applied Scientist
37,Machine Learning Engineer
38,Machine Learning Engineer
39,Data Scientist
40,Data Scientist
41,Data Scientist
42,Data Scientist
45,Data Engineer
46,Data Engineer
47,Analytics Engineer
48,Analytics Engineer
49,Applied Scientist
50,Applied Scientist
51,Data Scientist
52,Data Scientist
53,Data Scientist
54,Data Scientist
55,Data Engineer
56,Data Engineer
57,Machine Learning Engineer
58,Machine Learning Engineer
59,Data Engineer
60,Data Engineer
61,Data Scientist
62,Data Scientist
63,Data Analyst
64,Data Analyst
65,Research Scientist
66,Research Scientist
67,Data Engineer
68,Data Engineer
69,Data Scientist
70,Data Scientist
71,Data Analyst
72,Data Analyst
73,Data Analyst
74,Data Analyst
75,Data Analyst
76,Data Analyst
77,Machine Learning Engineer
78,Machine Learning Engineer
81,Data Engineer
82,Data Engineer
83,Data Scientist
84,Data Scientist
85,Data Architect
86,Data Architect
91,Data Analyst
92,Applied Scientist
93,Applied Scientist
94,Data Analyst
95,Data Analyst
96,Data Analyst
97,Data Analyst
98,Data Engineer
99,Data Engineer
100,Machine Learning Engineer
101,Machine Learning Engineer
102,Research Scientist
103,Research Scientist
104,Data Scientist
105,Data Scientist
106,Data Engineer
107,Data Engineer
108,Machine Learning Engineer
109,Machine Learning Engineer
110,Machine Learning Engineer
111,Machine Learning Engineer
112,Data Engineer
113,Data Engineer
114,Applied Scientist
115,Applied Scientist
116,Data Engineer
